"Płatności","Payments"
"Brak dostępu do transakcji zamówienia o id: %d","No access to order's %d transaction"
"Status płatnośći zamówienia","Payment status"
"Rozpoczęto nową transakcję.","New transaction has been started."
"Transakcja została anulowana. ID transakcji: "%s"","Transaction has been canceled. Transaction ID: "%s""
"Transakcja została anulowana przez użytkownika. ID transakcji: "%s"","Transaction has been canceled by a customer. Transaction ID: "%s""
"Transakcja została odrzucona. ID transakcji: "%s"","Transaction has been rejected. Transaction ID: "%s""
"Dziękujemy za opłacenie zamówienia. Twoje zamówienie zostanie przyjęte do realizacji maksymalnie w ciągu jednego dnia roboczego, o czym zostaniesz poinformowany w osobnej wiadomości mailowej.",Thank you for payment. Your order will be accepted for processing within a maximum of one working day. You will be informed in a separate email message."
"Płatności dla zamówienia #%d","Payment for order #%d"
"Lista transakcji","Transaction list"
"W trakcie","In progress"
"Zakończona","Completed"
"Anulowana","Canceled"
"Status płatności zamówienia #%s","Payment status #%s"
"Podgląd zamówienia","View order"
"Brak wcześniejszych transakcji","There are no previous transactions"
"Transakcja nr %s","Transaction %s"
"utworzono %s","created at %s"
"Oczekuje na płatność","Pending payment"
"Płatność w toku","Payment in progress"
"Opłacono","Paid"
"Nieznany status","Unknown status"
"Płatność dla tego zamówienia jest w toku.","Payment is in progress."
"Identyfikator płatności: %s","Payment ID: %s"
"Jeżeli chcesz anulować aktualnie rozpoczętą płatność, kliknij tutaj","Click here, to cancel started payment"
"To zamówienie zostało już opłacone.","This order is already paid."
"To zamówienie oczekuje na opłacenie.","This order is pending payment."
"Zapłać teraz","Pay now"
"Trwa oczekiwanie na potwierdzenie dokonania płatności ze strony operatora","Waiting for payment confirmation from operator"
"Zamówienie opłacone pomyślnie","Order successfully paid"
"Nieudana próba opłacenia zamówienia","Unsuccessfull payment"
"Oczekiwanie","Waiting"
"Szanowny kliencie, dziękujemy za dokonanie płatności. Aktualnie oczekujemy na potwierdzenie Twojej płatności ze strony operatora. Prosimy o odrobinę cierpliwości.","Dear customer, for you for making a payment. Currently, we are waiting for payment confirmation from operator. We are asking for a little patience."
"Możesz zamknąć tę stronę, jeśli nie chcesz czekać na potwierdzenie.","You can close this page, if you don't want to wait for payment confirmation"
"Kliknij, aby wrócić do panelu płatności","Go back to payment panel"
"Kliknij, aby przejść do strony głównej","Go to homepage"
"Bład","Error"
"Wystąpił błąd podczas próby opłacenia zamówienia. Spróbuj dokonać płatności ponownie.","An error occurred. Please try making a payment again."
